"Site","Date","Restoration.type","totRFDetections","totOCDetections","propRF","propOC"
"HP36P1B",20200304,"Benchmark",437,20,0.956236323851203,0.0437636761487965
"HP36P1B",20200311,"Benchmark",570,8,0.986159169550173,0.013840830449827
"HP36P1B",20200325,"Benchmark",340,1,0.997067448680352,0.00293255131964809
"HP36P1B",20201212,"Benchmark",375,8,0.97911227154047,0.02088772845953
"HP36P1B",20201215,"Benchmark",332,1,0.996996996996997,0.00300300300300305
"HP36P1B",20201219,"Benchmark",96,6,0.941176470588235,0.0588235294117647
"HP36P3B",20200304,"Benchmark",402,16,0.961722488038278,0.0382775119617225
"HP36P3B",20200311,"Benchmark",460,3,0.993520518358531,0.00647948164146872
"HP36P3B",20200325,"Benchmark",378,0,1,0
"HP36P3B",20201212,"Benchmark",342,1,0.997084548104956,0.00291545189504372
"HP36P3B",20201214,"Benchmark",531,8,0.985157699443414,0.0148423005565863
"HP36P3B",20201217,"Benchmark",72,0,1,0
"HP36P4B",20200304,"Benchmark",398,5,0.987593052109181,0.0124069478908189
"HP36P4B",20200311,"Benchmark",405,24,0.944055944055944,0.0559440559440559
"HP36P4B",20200325,"Benchmark",780,16,0.979899497487437,0.0201005025125628
"HP36P4B",20201213,"Benchmark",912,3,0.99672131147541,0.00327868852459012
"HP36P4B",20201216,"Benchmark",513,1,0.998054474708171,0.00194552529182879
"HP36P4B",20201218,"Benchmark",373,0,1,0
"HP37P1B",20200307,"Benchmark",768,7,0.990967741935484,0.00903225806451613
"HP37P1B",20200312,"Benchmark",325,37,0.897790055248619,0.102209944751381
"HP37P1B",20200314,"Benchmark",388,1,0.997429305912596,0.00257069408740362
"HP37P1B",20201212,"Benchmark",327,4,0.987915407854985,0.0120845921450151
"HP37P1B",20201215,"Benchmark",231,0,1,0
"HP37P1B",20201218,"Benchmark",355,3,0.991620111731844,0.00837988826815639
"HP37P2B",20200307,"Benchmark",454,0,1,0
"HP37P2B",20200312,"Benchmark",312,26,0.923076923076923,0.0769230769230769
"HP37P2B",20200314,"Benchmark",299,11,0.964516129032258,0.035483870967742
"HP37P2B",20201212,"Benchmark",253,1,0.996062992125984,0.00393700787401574
"HP37P2B",20201215,"Benchmark",596,0,1,0
"HP37P2B",20201219,"Benchmark",279,1,0.996428571428571,0.00357142857142856
"HP37P4B",20200307,"Benchmark",473,37,0.927450980392157,0.0725490196078431
"HP37P4B",20200312,"Benchmark",474,15,0.969325153374233,0.0306748466257669
"HP37P4B",20200314,"Benchmark",462,19,0.960498960498961,0.0395010395010394
"HP37P4B",20201212,"Benchmark",50,0,1,0
"HP37P4B",20201216,"Benchmark",3,0,1,0
"HP37P4B",20201218,"Benchmark",41,0,1,0
"HP4008R",20200304,"Active",364,17,0.955380577427822,0.0446194225721784
"HP4008R",20200311,"Active",430,62,0.873983739837398,0.126016260162602
"HP4008R",20200325,"Active",557,101,0.846504559270517,0.153495440729483
"HP4008R",20201212,"Active",589,98,0.857350800582242,0.142649199417758
"HP4008R",20201215,"Active",567,91,0.861702127659574,0.138297872340426
"HP4008R",20201217,"Active",265,1,0.996240601503759,0.00375939849624063
"HP4008U",20200307,"Passive",542,130,0.806547619047619,0.193452380952381
"HP4008U",20200312,"Passive",375,65,0.852272727272727,0.147727272727273
"HP4008U",20200314,"Passive",518,94,0.84640522875817,0.15359477124183
"HP4008U",20201212,"Passive",572,155,0.786795048143054,0.213204951856946
"HP4008U",20201214,"Passive",788,87,0.900571428571429,0.0994285714285714
"HP4008U",20201216,"Passive",688,159,0.812278630460449,0.187721369539551
"INBS04R",20200306,"Active",404,66,0.859574468085106,0.140425531914894
"INBS04R",20200323,"Active",324,49,0.868632707774799,0.131367292225201
"INBS04R",20200508,"Active",187,62,0.751004016064257,0.248995983935743
"INBS04R",20201211,"Active",545,49,0.917508417508417,0.0824915824915825
"INBS04R",20201214,"Active",415,105,0.798076923076923,0.201923076923077
"INBS04R",20201217,"Active",503,78,0.865748709122203,0.134251290877797
"INBS04U",20200306,"Passive",263,153,0.632211538461538,0.367788461538462
"INBS04U",20200324,"Passive",172,152,0.530864197530864,0.469135802469136
"INBS04U",20200507,"Passive",194,120,0.617834394904459,0.382165605095541
"INBS04U",20201212,"Passive",8,0,1,0
"INBS04U",20201215,"Passive",45,51,0.46875,0.53125
"INME03R",20200314,"Active",270,139,0.660146699266504,0.339853300733496
"INME03R",20200501,"Active",207,2,0.990430622009569,0.00956937799043067
"INME03R",20200508,"Active",319,107,0.748826291079812,0.251173708920188
"INME03R",20201211,"Active",222,5,0.977973568281938,0.0220264317180616
"INME03R",20201214,"Active",338,10,0.971264367816092,0.0287356321839081
"INME03R",20201217,"Active",208,12,0.945454545454545,0.0545454545454546
"INME03U",20200314,"Passive",170,144,0.54140127388535,0.45859872611465
"INME03U",20200501,"Passive",148,103,0.589641434262948,0.410358565737052
"INME03U",20200507,"Passive",141,103,0.577868852459016,0.422131147540984
"INME03U",20201211,"Passive",621,206,0.750906892382104,0.249093107617896
"INME03U",20201214,"Passive",339,234,0.591623036649215,0.408376963350785
"INME03U",20201217,"Passive",242,194,0.555045871559633,0.444954128440367
"INOA03R",20200314,"Active",344,23,0.93732970027248,0.0626702997275205
"INOA03R",20200501,"Active",232,18,0.928,0.072
"INOA03R",20200509,"Active",238,110,0.683908045977011,0.316091954022989
"INOA03R",20201211,"Active",341,43,0.888020833333333,0.111979166666667
"INOA03R",20201214,"Active",459,172,0.727416798732171,0.272583201267829
"INOA03R",20201217,"Active",444,36,0.925,0.075
"IPTO04R",20200317,"Active",220,32,0.873015873015873,0.126984126984127
"IPTO04R",20200502,"Active",236,33,0.877323420074349,0.122676579925651
"IPTO04R",20200510,"Active",112,1,0.991150442477876,0.00884955752212391
"IPTO04R",20201211,"Active",504,111,0.819512195121951,0.180487804878049
"IPTO04R",20201214,"Active",334,68,0.830845771144279,0.169154228855721
"IPTO04R",20201217,"Active",204,49,0.806324110671937,0.193675889328063
"IPTO04U",20200314,"Passive",300,78,0.793650793650794,0.206349206349206
"IPTO04U",20200502,"Passive",138,10,0.932432432432432,0.0675675675675675
"IPTO04U",20200510,"Passive",288,58,0.832369942196532,0.167630057803468
"IPTO04U",20201211,"Passive",480,29,0.943025540275049,0.0569744597249509
"IPTO04U",20201213,"Passive",617,79,0.886494252873563,0.113505747126437
"IPTO04U",20201215,"Passive",624,56,0.917647058823529,0.0823529411764706
"IPTO06R",20200317,"Active",216,69,0.757894736842105,0.242105263157895
"IPTO06R",20200319,"Active",209,50,0.806949806949807,0.193050193050193
"IPTO06R",20200502,"Active",144,39,0.786885245901639,0.213114754098361
"IPTO06R",20200510,"Active",122,22,0.847222222222222,0.152777777777778
"IPTO06R",20201211,"Active",536,62,0.896321070234114,0.103678929765886
"IPTO06R",20201217,"Active",276,22,0.926174496644295,0.0738255033557047
"IPTO06U",20200314,"Passive",289,66,0.814084507042254,0.185915492957746
"IPTO06U",20200502,"Passive",108,76,0.58695652173913,0.41304347826087
"IPTO06U",20200510,"Passive",270,64,0.808383233532934,0.191616766467066
"IPTO06U",20201211,"Passive",474,75,0.863387978142076,0.136612021857924
"IPTO06U",20201214,"Passive",561,66,0.894736842105263,0.105263157894737
"IPTO06U",20201217,"Passive",116,14,0.892307692307692,0.107692307692308
"OLCAP2B",20200312,"Benchmark",467,17,0.964876033057851,0.0351239669421488
"OLCAP2B",20200314,"Benchmark",748,50,0.93734335839599,0.0626566416040101
"OLCAP2B",20200503,"Benchmark",123,4,0.968503937007874,0.031496062992126
"OLCAP2B",20200510,"Benchmark",269,9,0.967625899280576,0.0323741007194245
"OLCAP2B",20201215,"Benchmark",429,0,1,0
"OLCAP2B",20201218,"Benchmark",261,0,1,0
"OLCAP3B",20200312,"Benchmark",245,16,0.938697318007663,0.0613026819923371
"OLCAP3B",20200503,"Benchmark",348,20,0.945652173913043,0.0543478260869565
"OLCAP3B",20200510,"Benchmark",525,2,0.996204933586338,0.00379506641366223
"OLCAP3B",20201212,"Benchmark",106,0,1,0
"OLCAP3B",20201215,"Benchmark",99,0,1,0
"OLCAP3B",20201218,"Benchmark",27,9,0.75,0.25
"OLV110R",20200319,"Active",456,13,0.97228144989339,0.0277185501066098
"OLV110R",20200504,"Active",241,48,0.833910034602076,0.166089965397924
"OLV110R",20200508,"Active",408,66,0.860759493670886,0.139240506329114
"OLV110R",20201202,"Active",626,158,0.798469387755102,0.201530612244898
"OLV110R",20210106,"Active",107,0,1,0
"OLV110R",20210114,"Active",1,1,0.5,0.5
"OLV110U",20200319,"Passive",180,55,0.765957446808511,0.234042553191489
"OLV110U",20200504,"Passive",90,56,0.616438356164384,0.383561643835616
"OLV110U",20200507,"Passive",259,64,0.801857585139319,0.198142414860681
"OLV110U",20201201,"Passive",351,51,0.873134328358209,0.126865671641791
"OLV110U",20210109,"Passive",226,86,0.724358974358974,0.275641025641026
"OLV110U",20210114,"Passive",46,3,0.938775510204082,0.0612244897959183
"OLV208R",20200319,"Active",287,27,0.914012738853503,0.0859872611464968
"OLV208R",20200327,"Active",389,102,0.792260692464358,0.207739307535642
"OLV208R",20200505,"Active",445,12,0.973741794310722,0.0262582056892779
"OLV208R",20201130,"Active",373,4,0.989389920424403,0.0106100795755968
"OLV208R",20201203,"Active",77,1,0.987179487179487,0.0128205128205128
"OLV208R",20201208,"Active",6,0,1,0
"OLV208U",20200319,"Passive",164,144,0.532467532467532,0.467532467532468
"OLV208U",20200325,"Passive",135,153,0.46875,0.53125
"OLV208U",20200508,"Passive",239,106,0.692753623188406,0.307246376811594
"OLV208U",20201130,"Passive",411,51,0.88961038961039,0.11038961038961
"OLV208U",20210108,"Passive",5,0,1,0
"OLV208U",20210113,"Passive",3,1,0.75,0.25
"PANMP1B",20200313,"Benchmark",252,10,0.961832061068702,0.0381679389312977
"PANMP1B",20200317,"Benchmark",599,1,0.998333333333333,0.00166666666666671
"PANMP1B",20200321,"Benchmark",196,6,0.97029702970297,0.0297029702970297
"PANMP1B",20201210,"Benchmark",495,2,0.995975855130785,0.00402414486921532
"PANMP1B",20201212,"Benchmark",283,1,0.996478873239437,0.00352112676056338
"PANMP1B",20201216,"Benchmark",633,2,0.996850393700787,0.00314960629921257
"PANMP2B",20200313,"Benchmark",232,17,0.931726907630522,0.0682730923694779
"PANMP2B",20200317,"Benchmark",390,0,1,0
"PANMP2B",20200321,"Benchmark",319,3,0.990683229813665,0.00931677018633537
"PANMP2B",20201210,"Benchmark",239,0,1,0
"PANMP2B",20201214,"Benchmark",399,0,1,0
"PANMP2B",20201217,"Benchmark",216,1,0.995391705069124,0.00460829493087556
"PANMP3B",20200313,"Benchmark",290,38,0.884146341463415,0.115853658536585
"PANMP3B",20200317,"Benchmark",583,66,0.898305084745763,0.101694915254237
"PANMP3B",20200320,"Benchmark",473,19,0.961382113821138,0.0386178861788617
"PANMP3B",20201210,"Benchmark",371,29,0.9275,0.0725
"PANMP3B",20201214,"Benchmark",895,15,0.983516483516483,0.0164835164835165
"PANMP3B",20201217,"Benchmark",427,0,1,0
"SEL107R",20200306,"Active",329,96,0.774117647058824,0.225882352941176
"SEL107R",20200325,"Active",462,173,0.72755905511811,0.27244094488189
"SEL107R",20200505,"Active",369,97,0.791845493562232,0.208154506437768
"SEL107R",20201201,"Active",140,72,0.660377358490566,0.339622641509434
"SEL107R",20201204,"Active",208,172,0.547368421052632,0.452631578947368
"SEL107R",20201208,"Active",311,135,0.697309417040359,0.302690582959641
"SEL107U",20200306,"Passive",283,17,0.943333333333333,0.0566666666666666
"SEL107U",20200324,"Passive",293,193,0.602880658436214,0.397119341563786
"SEL107U",20200504,"Passive",93,82,0.531428571428571,0.468571428571429
"SEL107U",20201201,"Passive",198,19,0.912442396313364,0.0875576036866359
"SEL107U",20201204,"Passive",246,152,0.618090452261307,0.381909547738693
"SEL107U",20201207,"Passive",252,121,0.675603217158177,0.324396782841823
"SEL207R",20200306,"Active",173,82,0.67843137254902,0.32156862745098
"SEL207R",20200312,"Active",451,211,0.681268882175227,0.318731117824773
"SEL207R",20200327,"Active",221,41,0.843511450381679,0.156488549618321
"SEL207R",20201201,"Active",241,181,0.571090047393365,0.428909952606635
"SEL207R",20201204,"Active",209,135,0.607558139534884,0.392441860465116
"SEL207R",20201208,"Active",369,110,0.77035490605428,0.22964509394572
"SEL207U",20200307,"Passive",113,201,0.359872611464968,0.640127388535032
"SEL207U",20200313,"Passive",272,281,0.491862567811935,0.508137432188065
"SEL207U",20200502,"Passive",146,190,0.43452380952381,0.56547619047619
"SEL207U",20201201,"Passive",9,98,0.0841121495327103,0.91588785046729
"SEL207U",20201205,"Passive",130,83,0.610328638497653,0.389671361502347
"SEL207U",20201207,"Passive",104,129,0.446351931330472,0.553648068669528
"STIN02R",20200310,"Active",178,57,0.757446808510638,0.242553191489362
"STIN02R",20200501,"Active",308,124,0.712962962962963,0.287037037037037
"STIN02R",20200506,"Active",357,61,0.854066985645933,0.145933014354067
"STIN02R",20201202,"Active",332,14,0.959537572254335,0.0404624277456648
"STIN02R",20201205,"Active",8,0,1,0
"STIN02R",20201207,"Active",27,0,1,0
"STIN02U",20200310,"Passive",212,106,0.666666666666667,0.333333333333333
"STIN02U",20200501,"Passive",400,164,0.709219858156028,0.290780141843972
"STIN02U",20200509,"Passive",239,236,0.503157894736842,0.496842105263158
"STIN02U",20201201,"Passive",432,113,0.792660550458716,0.207339449541284
"STIN02U",20201204,"Passive",261,117,0.69047619047619,0.30952380952381
"STIN02U",20201208,"Passive",405,199,0.670529801324503,0.329470198675497
"THEN10U",20200319,"Passive",349,131,0.727083333333333,0.272916666666667
"THEN10U",20200326,"Passive",493,78,0.863397548161121,0.136602451838879
"THEN10U",20200504,"Passive",130,60,0.684210526315789,0.315789473684211
"THEN10U",20201130,"Passive",425,18,0.959367945823928,0.0406320541760722
"THEN10U",20210107,"Passive",338,50,0.871134020618557,0.128865979381443
"THEN10U",20210112,"Passive",250,12,0.954198473282443,0.0458015267175572
"UPMAP1B",20200310,"Benchmark",383,15,0.962311557788945,0.0376884422110553
"UPMAP1B",20200324,"Benchmark",335,14,0.959885386819484,0.0401146131805158
"UPMAP1B",20200328,"Benchmark",394,16,0.960975609756098,0.0390243902439025
"UPMAP1B",20201205,"Benchmark",419,3,0.992890995260663,0.00710900473933651
"UPMAP1B",20201209,"Benchmark",385,3,0.992268041237113,0.00773195876288657
"UPMAP1B",20201211,"Benchmark",587,0,1,0
"UPMAP3B",20200309,"Benchmark",226,49,0.821818181818182,0.178181818181818
"UPMAP3B",20200324,"Benchmark",419,7,0.983568075117371,0.0164319248826291
"UPMAP3B",20200328,"Benchmark",607,5,0.991830065359477,0.00816993464052285
"UPMAP3B",20201205,"Benchmark",664,1,0.998496240601504,0.00150375939849623
"UPMAP3B",20201207,"Benchmark",532,0,1,0
"UPMAP3B",20201212,"Benchmark",510,2,0.99609375,0.00390625
"UPMAP4B",20200309,"Benchmark",316,7,0.978328173374613,0.021671826625387
"UPMAP4B",20200324,"Benchmark",423,4,0.990632318501171,0.00936768149882905
"UPMAP4B",20200328,"Benchmark",322,2,0.993827160493827,0.00617283950617287
"UPMAP4B",20201205,"Benchmark",298,2,0.993333333333333,0.00666666666666671
"UPMAP4B",20201208,"Benchmark",287,1,0.996527777777778,0.00347222222222221
"UPMAP4B",20201212,"Benchmark",647,0,1,0
"UPMAP5B",20200309,"Benchmark",261,17,0.938848920863309,0.0611510791366906
"UPMAP5B",20200324,"Benchmark",337,1,0.997041420118343,0.00295857988165682
"UPMAP5B",20200328,"Benchmark",253,0,1,0
"UPMAP5B",20201205,"Benchmark",405,0,1,0
"UPMAP5B",20201208,"Benchmark",421,1,0.997630331753555,0.00236966824644547
"UPMAP5B",20201211,"Benchmark",429,0,1,0
"UPMAP6B",20200309,"Benchmark",218,37,0.854901960784314,0.145098039215686
"UPMAP6B",20200325,"Benchmark",291,42,0.873873873873874,0.126126126126126
"UPMAP6B",20200328,"Benchmark",447,0,1,0
"UPMAP6B",20201202,"Benchmark",474,4,0.99163179916318,0.00836820083682011
"UPMAP6B",20201205,"Benchmark",513,0,1,0
"UPMAP6B",20201209,"Benchmark",280,12,0.958904109589041,0.041095890410959
"VAR210R",20200311,"Active",196,53,0.78714859437751,0.21285140562249
"VAR210R",20200319,"Active",232,91,0.718266253869969,0.281733746130031
"VAR210R",20200504,"Active",82,48,0.630769230769231,0.369230769230769
"VAR210R",20201206,"Active",252,40,0.863013698630137,0.136986301369863
"VAR210R",20210107,"Active",140,43,0.765027322404372,0.234972677595628
"VAR210R",20210113,"Active",111,12,0.902439024390244,0.0975609756097561
"VAR310R",20200311,"Active",192,93,0.673684210526316,0.326315789473684
"VAR310R",20200318,"Active",442,243,0.645255474452555,0.354744525547445
"VAR310R",20200504,"Active",415,100,0.805825242718447,0.194174757281553
"VAR310R",20201130,"Active",371,92,0.801295896328294,0.198704103671706
"VAR310R",20201206,"Active",469,76,0.860550458715596,0.139449541284404
"VAR310R",20210113,"Active",282,46,0.859756097560976,0.140243902439024
"VAR310U",20200311,"Passive",218,168,0.564766839378238,0.435233160621762
"VAR310U",20200319,"Passive",582,173,0.770860927152318,0.229139072847682
"VAR310U",20200504,"Passive",330,203,0.619136960600375,0.380863039399625
"VAR310U",20201130,"Passive",455,124,0.785837651122625,0.214162348877375
"VAR310U",20210106,"Passive",70,41,0.630630630630631,0.369369369369369
"VAR310U",20210109,"Passive",6,4,0.6,0.4
"VAR410R",20200311,"Active",352,105,0.770240700218818,0.229759299781182
"VAR410R",20200320,"Active",370,118,0.758196721311475,0.241803278688525
"VAR410R",20200506,"Active",213,201,0.514492753623188,0.485507246376812
"VAR410R",20201130,"Active",256,122,0.677248677248677,0.322751322751323
"VAR410R",20201202,"Active",434,185,0.701130856219709,0.298869143780291
"VAR410R",20210106,"Active",284,155,0.646924829157175,0.353075170842825
"VAR410U",20200311,"Passive",246,170,0.591346153846154,0.408653846153846
"VAR410U",20200318,"Passive",353,115,0.754273504273504,0.245726495726496
"VAR410U",20200506,"Passive",98,35,0.736842105263158,0.263157894736842
"VAR410U",20201130,"Passive",261,249,0.511764705882353,0.488235294117647
"VAR410U",20201206,"Passive",169,9,0.949438202247191,0.050561797752809
"VAR410U",20210107,"Passive",103,145,0.415322580645161,0.584677419354839
